ESTADO,MUNICÍPIO,(VD) ÍNDICE MÉDIO DE CRESCIMENTO ANUAL,PIB PER CAPITA (R$),CRESCIMENTO MÉDIO DO PIB,QUALIDADE DA EDUCAÇÃO,LEGISLAÇÃO E INSTRUMENTOS DE PLANEJAMENTO,MEIO AMBIENTE E DESENVOLVIMENTO SUSTENTÁVEL,RECURSOS PARA A GESTÃO,COMUNICAÇÃO E TECNOLOGIA,ARTICULAÇÃO INTERINSTITUCIONAL
Goiás,Abadia de Goiás - GO,6.74,23061.21,-6.93,17,19,15,6,6,0
Minas Gerais,Abadia dos Dourados - MG,0.00,18254.69,-8.84,12,7,5,5,4,6
Goiás,Abadiânia - GO,17.65,17302.07,6.93,18,14,14,4,9,0
Minas Gerais,Abaeté - MG,0.00,22262.56,10.34,16,18,4,6,6,3
Pará,Abaetetuba - PA,0.00,9480.05,5.73,17,15,8,6,5,0
Ceará,Abaiara - CE,4.48,8051.89,1.22,17,9,6,2,4,1
Bahia,Abaíra - BA,4.22,7168.55,3.53,18,6,3,4,4,11
Bahia,Abaré - BA,0.00,7530.62,5.03,20,6,12,5,5,2
Paraná,Abatiá - PR,0.00,25316.35,4.00,18,22,2,5,4,1
Santa Catarina,Abdon Batista - SC,0.00,25435.82,1.70,19,22,8,4,5,3
Pará,Abel Figueiredo - PA,0.00,11456.69,2.78,17,10,11,5,3,1
Santa Catarina,Abelardo Luz - SC,0.00,36959.79,4.95,18,11,4,4,8,1
Minas Gerais,Abre Campo - MG,0.00,15123.23,4.68,14,8,9,4,2,4
Pernambuco,Abreu e Lima - PE,10.34,17757.00,-5.48,15,9,5,5,5,0
Tocantins,Abreulândia - TO,11.11,20911.98,-2.15,16,14,6,5,3,5
Minas Gerais,Acaiaca - MG,0.00,13982.47,20.18,20,4,11,5,4,2
Maranhão,Açailândia - MA,0.53,20961.74,4.36,20,15,6,5,9,0
Bahia,Acajutiba - BA,7.27,8380.50,2.88,15,5,3,4,5,1
Pará,Acará - PA,0.00,13625.95,-9.54,15,21,0,5,5,0
Ceará,Acarape - CE,0.00,9544.31,-1.28,18,16,4,4,3,1
Ceará,Acaraú - CE,0.00,11329.54,7.57,13,22,14,5,8,2
Rio Grande do Norte,Acari - RN,0.00,11739.58,5.06,12,6,3,3,5,2
Piauí,Acauã - PI,3.49,7816.06,11.84,14,5,0,5,5,0
Rio Grande do Sul,Aceguá - RS,0.00,51427.87,-2.49,15,6,7,4,6,3
Ceará,Acopiara - CE,9.73,8527.44,8.80,14,15,12,5,5,1
Mato Grosso,Acorizal - MT,2.74,15620.30,8.41,12,0,9,4,4,0
Acre,Acrelândia - AC,14.68,16623.62,5.11,12,1,0,5,3,0
Goiás,Acreúna - GO,0.00,29728.11,-0.56,17,18,5,5,4,0
Rio Grande do Norte,Açu - RN,1.89,21401.61,17.92,16,12,4,4,7,1
Minas Gerais,Açucena - MG,0.99,9880.89,-1.62,17,11,5,4,6,0
São Paulo,Adamantina - SP,5.36,32400.51,4.48,14,20,6,5,9,1
Goiás,Adelândia - GO,0.00,14792.13,1.37,15,3,3,4,3,0
São Paulo,Adolfo - SP,1.79,31265.58,6.05,17,5,8,5,4,0
Paraná,Adrianópolis - PR,2.04,36344.48,-7.53,16,18,2,3,2,2
Bahia,Adustina - BA,27.71,10180.40,23.88,15,1,14,4,3,1
Pernambuco,Afogados da Ingazeira - PE,11.82,12464.16,7.07,14,22,4,6,5,4
Rio Grande do Norte,Afonso Bezerra - RN,7.32,9240.78,3.19,11,3,5,5,8,2
Espírito Santo,Afonso Cláudio - ES,0.00,14487.18,0.46,17,20,14,5,3,3
Maranhão,Afonso Cunha - MA,36.36,7075.72,1.95,18,14,2,2,1,0
Pernambuco,Afrânio - PE,10.07,8663.81,1.21,18,6,3,5,9,1
Pará,Afuá - PA,17.46,9446.15,1.70,21,19,19,4,5,0
Pernambuco,Agrestina - PE,9.79,11341.73,6.71,21,13,8,5,6,8
Piauí,Agricolândia - PI,25.71,7949.99,9.30,14,20,5,3,2,0
Santa Catarina,Agrolândia - SC,2.74,25390.37,6.59,13,16,2,6,7,12
Santa Catarina,Agronômica - SC,6.60,29713.29,2.01,16,16,14,6,6,12
Pará,Água Azul do Norte - PA,3.77,15843.53,-0.93,12,19,5,5,5,0
Minas Gerais,Água Boa - MG,5.52,10674.04,6.92,14,7,8,5,3,3
Mato Grosso,Água Boa - MT,8.82,41982.74,4.87,22,18,13,6,6,1
Alagoas,Água Branca - AL,0.00,7976.03,8.71,18,11,1,4,8,1
Paraíba,Água Branca - PB,5.05,8074.16,3.44,13,8,3,5,5,0
Piauí,Água Branca - PI,8.85,12438.80,8.71,14,9,9,6,6,1
Mato Grosso do Sul,Água Clara - MS,6.60,72697.27,-12.90,11,14,7,5,5,1
Minas Gerais,Água Comprida - MG,0.00,72077.54,4.48,9,7,6,4,4,2
Santa Catarina,Água Doce - SC,2.36,49860.88,9.47,15,16,6,5,4,12
Maranhão,Água Doce do Maranhão - MA,6.00,6892.69,9.16,16,0,1,4,6,0
